"x","y","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","date","id_day_all","month","datetime","behavior","species","id_tree","group"
365586.2,7540928.4,0,0,0,300,330210.924672826,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:30:00,"Inactive","Celtis fluminensis","AMf061","SantaMaria"
365586.2,7540928.4,-11.320000000007,-10.9199999999255,15.7285981574497,300,330210.924672826,-2.37417816274132,0.458219412671367,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:35:00,"Frugivory","Celtis fluminensis","AMf061","SantaMaria"
365574.88,7540917.48,-25.1300000000047,-17.3700000001118,30.5488755931232,300,313049.020136842,-2.53679330059707,-0.162615137855757,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:40:00,"Inactive",NA,NA,"SantaMaria"
365549.75,7540900.11,-9.48999999999069,-1.25,9.5719694943007,300,280033.314702754,-3.01062896945801,-0.473835668860938,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:45:00,"Frugivory","Celtis fluminensis","AMf132","SantaMaria"
365540.26,7540898.86,0,0,0,300,270606.987260761,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:50:00,"Frugivory","Celtis fluminensis","AMf132","SantaMaria"
365540.26,7540898.86,7.89999999996508,-17.8000000007451,19.4743420948173,300,270606.987260761,-1.15309337361937,1.85753559583864,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:55:00,"Frugivory","Celtis fluminensis","AMf132","SantaMaria"
365548.16,7540881.06,0,0,0,300,269586.803880369,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:00:00,"Frugivory",NA,"SMaf099","SantaMaria"
365548.16,7540881.06,10.2300000000396,-28.7299999995157,30.4969801779288,300,269586.803880369,-1.22872083878193,-0.0756274651625559,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:05:00,"Frugivory",NA,"SMaf099","SantaMaria"
365558.39,7540852.33,15.7099999999627,-18.4199999999255,24.2095125931127,300,267124.460094602,-0.864634207384996,0.364086631396929,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:10:00,"Resting",NA,NA,"SantaMaria"
365574.1,7540833.91,-0.0899999999674037,1.78000000026077,1.78227382882723,300,275474.664632578,1.62131510349165,2.48594931087664,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:15:00,"Foraging",NA,NA,"SantaMaria"
365574.01,7540835.69,25.6599999999744,2.32999999914318,25.7655681092945,300,276024.139330706,0.0905544723608408,-1.53076063113081,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:20:00,"Foraging",NA,NA,"SantaMaria"
365599.67,7540838.02,2.98000000003958,2.97000000067055,4.20729129063094,300,302854.780578372,0.783717492817226,0.693163020456385,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:25:00,"Resting",NA,NA,"SantaMaria"
365602.65,7540840.99,2.61999999999534,-29.2099999999627,29.3272654708515,300,307050.933042661,-1.48134040283181,-2.26505789564904,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:30:00,"Foraging",NA,NA,"SantaMaria"
365605.27,7540811.78,0.949999999953434,-15.6900000004098,15.7187340461238,300,299810.660098636,-1.51032203596063,-0.0289816331288124,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:35:00,"Resting",NA,NA,"SantaMaria"
365606.22,7540796.09,0,0,0,300,296150.678048453,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:40:00,"Frugivory","Celtis fluminensis","AMf066","SantaMaria"
365606.22,7540796.09,8.24000000004889,-7.84999999962747,11.3806897855515,300,296150.678048453,-0.761164250985175,0.749157784975451,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:45:00,"Frugivory","Celtis fluminensis","AMf066","SantaMaria"
365614.46,7540788.24,29.320000000007,-2.62000000011176,29.436827274708,300,302736.817140602,-0.0891220893147876,0.672042161670388,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:50:00,"Inactive","Celtis fluminensis","AMf066","SantaMaria"
365643.78,7540785.62,32.0518999999622,-17.7190000005066,36.62358877316,300,334219.36031658,-0.505007339977021,-0.415885250662233,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 15:55:00,"Marking territory",NA,NA,"SantaMaria"
365675.8319,7540767.901,NA,NA,NA,NA,367057.958500039,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 16:00:00,"Sleeping site",NA,"SS002","SantaMaria"
364676.3126,7540728.996,-9.70260000001872,23.7439999999478,25.649911944447,300,0,1.9587233714307,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:10:00,"Sleeping site",NA,"SS004","SantaMaria"
364666.61,7540752.74,3.73000000003958,-1.95999999996275,4.21360890450802,300,657.917982757887,-0.483814725850259,-2.44253809728096,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:15:00,"Inactive",NA,NA,"SantaMaria"
364670.34,7540750.78,-4.19000000000233,-27.890000000596,28.2029821124162,300,510.214606759102,-1.71991419662331,-1.23609947077305,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:20:00,"Inactive",NA,NA,"SantaMaria"
364666.15,7540722.89,0,0,0,300,140.561674767084,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:25:00,"Frugivory","inch_pass","AMf218","SantaMaria"
364666.15,7540722.89,0,0,0,300,140.561674767084,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:30:00,"Frugivory","inch_pass","AMf218","SantaMaria"
364666.15,7540722.89,0,0,0,300,140.561674767084,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:35:00,"Frugivory","inch_pass","AMf218","SantaMaria"
364666.15,7540722.89,0,0,0,300,140.561674767084,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:40:00,"Frugivory","inch_pass","AMf218","SantaMaria"
364666.15,7540722.89,30.9799999999814,16.2700000004843,34.9924749055365,300,140.561674767084,0.483586165456919,2.20350036208023,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:45:00,"Inactive","inch_pass","AMf218","SantaMaria"
364697.13,7540739.16,5.8399999999674,13.1200000001118,14.3610584569018,300,536.671038757421,1.15200638642149,0.668420220964574,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:50:00,"Marking territory",NA,NA,"SantaMaria"
364702.97,7540752.28,18.710000000021,13.8799999998882,23.2963194517435,300,1252.76163075756,0.63826420611425,-0.513742180307243,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 07:55:00,"Inactive",NA,NA,"SantaMaria"
364721.68,7540766.16,7.98999999999069,40.109999999404,40.898070858563,300,3439.36387874952,1.37416800569086,0.735903799576608,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:00:00,"Inactive",NA,NA,"SantaMaria"
364729.67,7540806.27,-9.96999999997206,42.2000000001863,43.3617446606472,300,8818.28321064606,1.80279814945222,0.428630143761364,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:05:00,"Inactive",NA,NA,"SantaMaria"
364719.7,7540848.47,-15.5400000000373,47.2600000007078,49.7493638157119,300,16156.5031546324,1.88847876226194,0.0856806128097227,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:10:00,"Inactive",NA,NA,"SantaMaria"
364704.16,7540895.73,-33.3899999999558,39.5699999993667,51.7752547067315,300,28575.7044428155,2.2716922520062,0.383213489744256,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:15:00,"Inactive",NA,NA,"SantaMaria"
364670.77,7540935.3,-31.570000000007,23.3300000000745,39.2549843969389,300,42592.0608305692,2.50517350720306,0.233481255196864,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:20:00,"Foraging",NA,NA,"SantaMaria"
